trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
6040,False,"{'a': 0.6, 'e': 0.04880121836201296}",20,13,10.356814556293294,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6041,False,"{'a': 0.6, 'e': 0.048776823851967674}",30,18,22.15573932895208,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6042,False,"{'a': 0.6, 'e': 0.04875244153612863}",20,0,17.894238732911226,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
6043,False,"{'a': 0.6, 'e': 0.0487280714084002}",25,15,17.274469002076252,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6044,False,"{'a': 0.6, 'e': 0.048703713462689875}",25,20,10.274824879935498,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
6045,False,"{'a': 0.6, 'e': 0.0486793676929082}",20,2,31.74967341792828,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
6046,False,"{'a': 0.6, 'e': 0.04865503409296867}",20,5,23.679461408292774,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
6047,False,"{'a': 0.6, 'e': 0.048630712656787936}",25,15,21.710207158028375,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6048,False,"{'a': 0.6, 'e': 0.048606403378285604}",20,8,27.177681063510896,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6049,False,"{'a': 0.6, 'e': 0.04858210625138437}",20,9,18.789561923658912,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6050,False,"{'a': 0.6, 'e': 0.048557821270009974}",35,20,15.967758585498702,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
6051,False,"{'a': 0.6, 'e': 0.04853354842809112}",25,6,34.7534382684234,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
6052,False,"{'a': 0.6, 'e': 0.04850928771955963}",20,15,10.306679914251184,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
6053,False,"{'a': 0.6, 'e': 0.048485039138350346}",35,23,25.32937406380833,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6054,False,"{'a': 0.6, 'e': 0.048460802678401076}",25,8,30.359207334246975,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
